"Session Type","Specification","Status","Mode","Start Time","Start Time_t","End Time","End Time_t","Queuing","Duration","GB Written","Media","Errors","Warnings","Pending DA","Running DA","Failed DA","Completed DA","Object","Files","Success","Session Owner","Session ID"
"Backup","Oracle8 GSL10092_MXCHJRZP-DB02_BTRCRPR_RMAN_ARC_ST","Completed","full","6/21/2022 10:00:02 AM","1655820002","6/21/2022 10:02:20 AM","1655820140","0:00","0:02","0.17","1","0","1","0","0","0","3","3","1","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-122"
"Backup","Oracle8 SCC_BKP_CAT_PP1_ARC_FULL_DAILY","Completed","full","6/21/2022 10:00:03 AM","1655820003","6/21/2022 10:00:51 AM","1655820051","0:00","0:00","0.08","1","0","1","0","0","0","3","3","1","100%","oracle.dba@tslprepdbc.delphidrive.com","2022/06/21-123"
"Backup","Oracle8 SCC_BKP_CAT_PN1_ARC_FULL_DAILY","Completed","full","6/21/2022 10:00:03 AM","1655820003","6/21/2022 10:05:40 AM","1655820340","0:00","0:05","3.06","1","0","1","0","0","0","3","3","1","100%","oracle.dba@dtpn1dbc.delphidrive.com","2022/06/21-124"
"Backup","Oracle8 SCC_BKP_CAT_IIBPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 10:00:03 AM","1655820003","6/21/2022 10:00:51 AM","1655820051","0:00","0:00","0.00","1","0","0","0","0","0","0","0","0","100%","oracle.dba@tslpribdbc.delphidrive.com","2022/06/21-125"
"Backup","Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 10:00:03 AM","1655820003","6/21/2022 10:00:54 AM","1655820054","0:00","0:00","0.49","2","0","2","0","0","0","4","4","0","100%","oracle.dba@tslprsfdbc.delphidrive.com","2022/06/21-126"
"Backup","Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY","Completed","full","6/21/2022 10:00:03 AM","1655820003","6/21/2022 10:05:19 AM","1655820319","0:00","0:05","2.05","1","0","1","0","0","0","2","2","0","100%","orapr1.dba@dtpr1dbc.delphidrive.com","2022/06/21-127"
"Backup","Oracle8 SCC_BKP_CAT_PG1_ARC_FULL_DAILY","Completed","full","6/21/2022 10:00:03 AM","1655820003","6/21/2022 10:01:03 AM","1655820063","0:00","0:01","0.17","1","0","1","0","0","0","3","3","1","100%","oracle.dba@tslprgrdb.delphidrive.com","2022/06/21-128"
"Backup","Oracle8 SCC_BKP_CAT_SFGPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 10:00:03 AM","1655820003","6/21/2022 10:01:14 AM","1655820074","0:00","0:01","0.81","1","0","1","0","0","0","4","4","0","100%","oracle.dba@tslprsfdbc.delphidrive.com","2022/06/21-129"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 10:15:03 AM","1655820903","6/21/2022 10:17:22 AM","1655821042","0:00","0:02","0.26","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-130"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 10:19:00 AM","1655821140","6/21/2022 10:20:06 AM","1655821206","0:00","0:01","0.10","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-131"
"Backup","GSL_269_TRIZM-AP06_DAILY","Completed","incr1","6/21/2022 10:30:01 AM","1655821801","6/21/2022 10:53:22 AM","1655823202","0:00","0:23","29.87","1","0","0","0","0","0","5","5","435210","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-132"
"Backup","Oracle8 GSL10092_MXJZPDA09_MXJUAMESPR1_RMAN_ARC_ST","Completed","full","6/21/2022 10:30:02 AM","1655821802","6/21/2022 10:32:06 AM","1655821926","0:00","0:02","1.33","1","0","1","0","0","0","3","3","1","100%","oracle.oinstall@mxjzpda09.delphidrive.com","2022/06/21-133"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 10:49:00 AM","1655822940","6/21/2022 10:51:09 AM","1655823069","0:00","0:02","0.36","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-134"
"Backup","GSL_236_LUBAS-BU01_DAILY","Completed/Errors","incr1","6/21/2022 11:00:02 AM","1655823602","6/21/2022 11:17:54 AM","1655824674","0:00","0:17","2.94","1","1","1","0","0","0","3","3","34804","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-136"
"Backup","GSL_274_UKGILP-BU02_DAILY","Completed","incr1","6/21/2022 11:00:02 AM","1655823602","6/21/2022 11:19:41 AM","1655824781","0:00","0:19","14.01","1","0","0","0","0","0","5","5","133125","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-137"
"Backup","Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY","Completed","full","6/21/2022 11:00:03 AM","1655823603","6/21/2022 11:04:06 AM","1655823846","0:00","0:04","1.67","1","0","1","0","0","0","2","2","0","100%","orapr1.dba@dtpr1dbc.delphidrive.com","2022/06/21-138"
"Backup","Oracle8 SCC_BKP_CAT_PN1_ARC_FULL_DAILY","Completed","full","6/21/2022 11:00:03 AM","1655823603","6/21/2022 11:03:10 AM","1655823790","0:00","0:03","1.89","1","0","1","0","0","0","3","3","1","100%","oracle.dba@dtpn1dbc.delphidrive.com","2022/06/21-139"
"Backup","Oracle8 SCC_BKP_CAT_IIBPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 11:00:03 AM","1655823603","6/21/2022 11:01:34 AM","1655823694","0:00","0:01","0.07","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslpribdbc.delphidrive.com","2022/06/21-140"
"Backup","Oracle8 GSL10092_MXJZPDA10_BTRCRPR_RMAN_ARC_ST","Completed","full","6/21/2022 11:00:03 AM","1655823603","6/21/2022 11:02:11 AM","1655823731","0:00","0:02","0.21","1","0","1","0","0","0","3","3","1","100%","oracle.oinstall@mxjzpda10.delphidrive.com","2022/06/21-141"
"Backup","Oracle8 SCC_BKP_CAT_PG1_ARC_FULL_DAILY","Completed","full","6/21/2022 11:00:03 AM","1655823603","6/21/2022 11:01:21 AM","1655823681","0:00","0:01","0.21","1","0","1","0","0","0","3","3","1","100%","oracle.dba@tslprgrdb.delphidrive.com","2022/06/21-142"
"Backup","Oracle8 SCC_BKP_CAT_SFGPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 11:00:03 AM","1655823603","6/21/2022 11:01:24 AM","1655823684","0:00","0:01","0.81","1","0","1","0","0","0","4","4","0","100%","oracle.dba@tslprsfdbc.delphidrive.com","2022/06/21-143"
"Backup","Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 11:00:03 AM","1655823603","6/21/2022 11:00:53 AM","1655823653","0:00","0:00","0.65","2","0","2","0","0","0","5","5","0","100%","oracle.dba@tslprsfdbc.delphidrive.com","2022/06/21-144"
"Backup","Oracle8 SCC_BKP_CAT_PP1_ARC_FULL_DAILY","Completed","full","6/21/2022 11:00:03 AM","1655823603","6/21/2022 11:01:11 AM","1655823671","0:00","0:01","0.08","1","0","1","0","0","0","3","3","1","100%","oracle.dba@tslprepdbc.delphidrive.com","2022/06/21-145"
"Backup","Oracle8 GSL10304_ROIADB01_IASIMES_RMAN_ONL_ST","Completed","incr1","6/21/2022 11:00:03 AM","1655823603","6/21/2022 11:58:43 AM","1655827123","0:00","0:58","1.49","1","0","0","0","0","0","26","26","1","100%","oracle.dba@roiadb01.delphidrive.com","2022/06/21-146"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 11:15:03 AM","1655824503","6/21/2022 11:17:21 AM","1655824641","0:00","0:02","0.21","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-147"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 11:19:00 AM","1655824740","6/21/2022 11:20:07 AM","1655824807","0:00","0:01","0.08","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-148"
"Backup","GSL_202_FRBLO-FP01_DAILY","Completed","incr1","6/21/2022 11:30:01 AM","1655825401","6/21/2022 11:42:07 AM","1655826127","0:00","0:12","13.58","1","0","0","0","0","0","2","2","51069","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-149"
"Backup","Oracle8 GSL10304_ROIADB01_IASIPUMP_RMAN_ONL_ST","Completed","incr1","6/21/2022 11:30:02 AM","1655825402","6/21/2022 12:21:19 PM","1655828479","0:28","0:51","1.33","1","0","1","0","0","0","4","4","0","100%","oracle.dba@roiadb01.delphidrive.com","2022/06/21-150"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 11:49:00 AM","1655826540","6/21/2022 11:50:41 AM","1655826641","0:00","0:01","0.21","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-151"
"Backup","Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY","Completed","full","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:03:29 PM","1655827409","0:00","0:03","0.96","1","0","1","0","0","0","2","2","0","100%","orapr1.dba@dtpr1dbc.delphidrive.com","2022/06/21-153"
"Backup","Oracle8 SCC_BKP_CAT_IIBPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:01:27 PM","1655827287","0:00","0:01","0.07","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslpribdbc.delphidrive.com","2022/06/21-154"
"Backup","Oracle8 GSL10304_ROIADB01_SPCIA_RMAN_ONL_ST","Completed","incr1","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:30:37 PM","1655829037","0:21","0:30","0.18","1","0","1","0","0","0","4","4","0","100%","oracle.dba@roiadb01.delphidrive.com","2022/06/21-155"
"Backup","GSL_202_FRBLDA03_DAILY","Completed","incr1","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:07:18 PM","1655827638","0:00","0:07","1.14","1","0","14","0","0","0","6","6","12384","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-156"
"Backup","Oracle8 SCC_BKP_CAT_SFGPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:01:04 PM","1655827264","0:00","0:00","0.49","1","0","1","0","0","0","4","4","0","100%","oracle.dba@tslprsfdbc.delphidrive.com","2022/06/21-157"
"Backup","Oracle8 SCC_BKP_CAT_PP1_ARC_FULL_DAILY","Completed","full","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:00:59 PM","1655827259","0:00","0:00","0.08","1","0","1","0","0","0","3","3","1","100%","oracle.dba@tslprepdbc.delphidrive.com","2022/06/21-158"
"Backup","Oracle8 SCC_BKP_CAT_PN1_ARC_FULL_DAILY","Completed","full","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:02:15 PM","1655827335","0:00","0:02","1.30","1","0","1","0","0","0","3","3","1","100%","oracle.dba@dtpn1dbc.delphidrive.com","2022/06/21-159"
"Backup","GSL_202_FREPDA01_DAILY","Completed","incr1","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:09:42 PM","1655827782","0:00","0:09","2.75","1","0","11","0","0","0","5","5","12531","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-160"
"Backup","Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:00:56 PM","1655827256","0:00","0:00","0.49","2","0","2","0","0","0","4","4","0","100%","oracle.dba@tslprsfdbc.delphidrive.com","2022/06/21-161"
"Backup","GSL_274_UKGIL-BU01_DAILY","Completed","incr1","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:58:54 PM","1655830734","0:00","0:58","13.09","1","0","0","0","0","0","3","3","537497","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-162"
"Backup","Oracle8 SCC_BKP_CAT_PG1_ARC_FULL_DAILY","Completed","full","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:01:22 PM","1655827282","0:00","0:01","0.17","1","0","1","0","0","0","3","3","1","100%","oracle.dba@tslprgrdb.delphidrive.com","2022/06/21-163"
"Backup","GSL_10381_PLBLO-BU01_DAILY","Completed","incr1","6/21/2022 12:00:05 PM","1655827205","6/21/2022 12:17:12 PM","1655828232","0:00","0:17","13.23","1","0","0","0","0","0","4","4","94672","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-164"
"Backup","GSL_202_FRBLO-AP20_DAILY","Completed","incr1","6/21/2022 12:05:01 PM","1655827501","6/21/2022 12:25:32 PM","1655828732","0:00","0:20","16.61","1","0","0","0","0","0","4","4","148068","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-165"
"Backup","GSL_202_FRBLOP-AP21_DAILY","Completed","incr1","6/21/2022 12:05:01 PM","1655827501","6/21/2022 2:50:55 PM","1655837455","0:00","2:45","640.07","1","0","0","0","0","0","6","6","428520","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-166"
"Backup","GSL_10381_PLBLMTS1_DAILY","Completed","incr1","6/21/2022 12:15:01 PM","1655828101","6/21/2022 12:40:09 PM","1655829609","0:02","0:25","2.96","1","0","10","0","0","0","9","9","55193","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-167"
"Backup","GSL_236_LUBAS-AP04_DAILY","Completed","incr1","6/21/2022 12:15:01 PM","1655828101","6/21/2022 12:28:37 PM","1655828917","0:00","0:13","6.53","3","0","0","0","0","0","3","3","57492","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-168"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 12:15:02 PM","1655828102","6/21/2022 12:17:29 PM","1655828249","0:00","0:02","0.27","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-169"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 12:19:01 PM","1655828341","6/21/2022 12:20:03 PM","1655828403","0:00","0:01","0.07","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-170"
"Backup","GSL_236_LUBAS-AP05_DAILY","Completed","incr1","6/21/2022 12:30:01 PM","1655829001","6/21/2022 2:52:36 PM","1655837556","0:00","2:22","328.71","1","0","5","0","0","0","5","5","328112","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-171"
"Backup","GSL_236_LUBAS-AP06_DAILY","Completed","incr1","6/21/2022 12:45:01 PM","1655829901","6/21/2022 1:58:17 PM","1655834297","0:00","1:13","134.36","1","0","0","0","0","0","10","10","248722","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-172"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 12:49:00 PM","1655830140","6/21/2022 12:51:03 PM","1655830263","0:00","0:02","0.13","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-173"
"Backup","GSL_202_FRBLO-AP13_DAILY","Completed","incr1","6/21/2022 12:55:01 PM","1655830501","6/21/2022 1:48:09 PM","1655833689","0:00","0:53","100.33","1","0","0","0","0","0","10","10","211808","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-174"
"Backup","GSL_10610_DAILY","Completed","incr1","6/21/2022 1:00:01 PM","1655830801","6/21/2022 4:47:15 PM","1655844435","0:00","3:47","156.90","1","0","0","0","0","0","28","28","1577671","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-175"
"Backup","GSL_253_PTSEI-AP01_DAILY","Completed","incr1","6/21/2022 1:00:02 PM","1655830802","6/21/2022 2:54:26 PM","1655837666","0:00","1:54","32.35","1","0","28","0","0","0","4","4","53997","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-176"
"Backup","GSL_282_UKSTO-FP03_DAILY","Completed","incr1","6/21/2022 1:00:02 PM","1655830802","6/21/2022 1:15:36 PM","1655831736","0:00","0:15","3.32","1","0","0","0","0","0","3","3","55329","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-177"
"Backup","GSL_274_UKPAR-AP14_WEEKLY","In Progress","full","6/21/2022 1:00:02 PM","1655830802","-","0","0:00","18:17","108.65","2","0","0","0","1","0","5","6","4090514","83%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-178"
