#List of Sessions
#Cell Manager: usoktul-ap20.delphidrive.com
#Creation Date: 8/24/2022 5:21:52 AM
# Headers
# Session Type	Specification	Status	Mode	Start Time	Start Time_t	End Time	End Time_t	Queuing	Duration	GB Written	# Media	# Errors	# Warnings	# Pending DA	# Running DA	# Failed DA	# Completed DA	# Objects	# Files	Success	Session Owner	Session ID
Backup	Oracle8 CDC_BKP_CAT_QA1_ARC_ST_FULL	Completed	full	8/23/2022 6:15:01 AM	1661253301	8/23/2022 6:16:43 AM	1661253403	0:00	0:01	0.06	2	0	2	0	0	0	6	6	0	100%	oracle.dba@dtqa1dbc.delphidrive.com	2022/08/23-111
Backup	Oracle8 CDC_BKP_CAT_QG1_ARC_ST_FULL	Completed	full	8/23/2022 6:15:01 AM	1661253301	8/23/2022 6:15:52 AM	1661253352	0:00	0:00	0.08	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqagrdbc.delphidrive.com	2022/08/23-112
Backup	Oracle8 CDC_BKP_CAT_SCCST1_ARC_ST_FULL	Completed	full	8/23/2022 6:30:02 AM	1661254202	8/23/2022 6:30:47 AM	1661254247	0:00	0:00	0.02	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-113
Backup	Oracle8 CDC_BKP_CAT_DE1_ARC_ST_FULL	Completed	full	8/23/2022 6:30:02 AM	1661254202	8/23/2022 6:31:15 AM	1661254275	0:00	0:01	0.14	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvecdbc.delphidrive.com	2022/08/23-114
Backup	Oracle8 CDC_BKP_CAT_SE1_ARC_ST_FULL	Completed	full	8/23/2022 6:30:02 AM	1661254202	8/23/2022 6:31:14 AM	1661254274	0:00	0:01	0.11	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclsbecdb.delphidrive.com	2022/08/23-115
Backup	Oracle8 CDC_BKP_CAT_SFGST1_ARC_ST_FULL	Completed	full	8/23/2022 6:30:02 AM	1661254202	8/23/2022 6:32:39 AM	1661254359	0:00	0:02	0.84	1	0	1	0	0	0	5	5	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-116
Backup	Oracle8 CDC_BKP_CAT_RE1_ARC_ST_FULL	Completed	full	8/23/2022 6:30:02 AM	1661254202	8/23/2022 6:31:15 AM	1661254275	0:00	0:01	0.10	1	0	1	0	0	0	3	3	1	100%	oracle.dba@dtre1dbc.delphidrive.com	2022/08/23-117
Backup	Oracle8 CDC_BKP_CAT_DG1_ARC_ST_FULL	Completed	full	8/23/2022 6:45:01 AM	1661255101	8/23/2022 6:45:46 AM	1661255146	0:00	0:00	0.03	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tcldvgrdbc.delphidrive.com	2022/08/23-118
Backup	Oracle8 CDC_BKP_CAT_SG1_ARC_ST_FULL	Completed	full	8/23/2022 6:45:01 AM	1661255101	8/23/2022 6:45:48 AM	1661255148	0:00	0:00	0.08	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclsbgrdbc.delphidrive.com	2022/08/23-119
Backup	Oracle8 CDC_BKP_CAT_STRLGDV_RAC_ARC_ST_FULL	Completed	full	8/23/2022 6:45:01 AM	1661255101	8/23/2022 6:46:20 AM	1661255180	0:00	0:01	0.38	2	0	2	0	0	0	4	4	1	100%	oracle.dba@tcldvracn1a.delphidrive.com	2022/08/23-120
Backup	Oracle8 CDC_BKP_CAT_B2BDEV_ARC_ST_FULL	Completed	full	8/23/2022 7:00:01 AM	1661256001	8/23/2022 7:00:54 AM	1661256054	0:00	0:00	0.08	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvibdbc.delphidrive.com	2022/08/23-121
Backup	Oracle8 CDC_BKP_CAT_DP1_ARC_ST_FULL	Completed	full	8/23/2022 7:00:01 AM	1661256001	8/23/2022 7:01:04 AM	1661256064	0:00	0:01	0.08	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvepdbc.delphidrive.com	2022/08/23-122
Backup	Oracle8 CDC_BKP_CAT_IIBST1_ARC_ST_FULL	Completed	full	8/23/2022 7:00:01 AM	1661256001	8/23/2022 7:00:50 AM	1661256050	0:00	0:00	0.01	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqaibdbc.delphidrive.com	2022/08/23-123
Backup	Oracle8 CDC_BKP_CAT_DV1_ARC_ST_FULL	Completed	full	8/23/2022 7:00:01 AM	1661256001	8/23/2022 7:01:49 AM	1661256109	0:00	0:01	0.15	1	0	1	0	0	0	2	2	0	100%	oracle.dba@tcudvr3dbc.delphidrive.com	2022/08/23-124
Backup	Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY	Completed	full	8/23/2022 7:00:01 AM	1661256001	8/23/2022 7:03:11 AM	1661256191	0:00	0:03	1.50	1	0	0	0	0	0	3	3	0	100%	orapr1.dba@tsuprr3db1.delphidrive.com	2022/08/23-125
Backup	Oracle8 CDC_BKP_CAT_CCDEV_ARC_ST_FULL	Completed	full	8/23/2022 7:15:01 AM	1661256901	8/23/2022 7:15:49 AM	1661256949	0:00	0:00	0.01	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tcldvibdbc.delphidrive.com	2022/08/23-126
Backup	Oracle8 CDC_BKP_CAT_QG1_ARC_ST_FULL	Completed	full	8/23/2022 7:15:01 AM	1661256901	8/23/2022 7:15:53 AM	1661256953	0:00	0:00	0.08	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqagrdbc.delphidrive.com	2022/08/23-127
Backup	Oracle8 CDC_BKP_CAT_QA1_ARC_ST_FULL	Completed	full	8/23/2022 7:15:01 AM	1661256901	8/23/2022 7:16:40 AM	1661257000	0:00	0:01	0.06	2	0	2	0	0	0	6	6	0	100%	oracle.dba@dtqa1dbc.delphidrive.com	2022/08/23-128
Backup	Oracle8 CDC_BKP_CAT_QP1_ARC_ST_FULL	Completed	full	8/23/2022 7:15:01 AM	1661256901	8/23/2022 7:15:53 AM	1661256953	0:00	0:00	0.10	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclqaepdbc.delphidrive.com	2022/08/23-129
Backup	Oracle8 CDC_BKP_CAT_SCCST1_ARC_ST_FULL	Completed	full	8/23/2022 7:30:03 AM	1661257803	8/23/2022 7:30:49 AM	1661257849	0:00	0:00	0.02	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-130
Backup	Oracle8 CDC_BKP_CAT_SFGST1_ARC_ST_FULL	Completed	full	8/23/2022 7:30:03 AM	1661257803	8/23/2022 7:33:00 AM	1661257980	0:00	0:02	1.00	1	0	1	0	0	0	5	5	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-131
Backup	Oracle8 CDC_BKP_CAT_RE1_ARC_ST_FULL	Completed	full	8/23/2022 7:30:03 AM	1661257803	8/23/2022 7:30:58 AM	1661257858	0:00	0:00	0.09	1	0	1	0	0	0	3	3	1	100%	oracle.dba@dtre1dbc.delphidrive.com	2022/08/23-132
Backup	Oracle8 CDC_BKP_CAT_DE1_ARC_ST_FULL	Completed	full	8/23/2022 7:30:03 AM	1661257803	8/23/2022 7:31:20 AM	1661257880	0:00	0:01	0.16	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvecdbc.delphidrive.com	2022/08/23-133
Backup	Oracle8 CDC_BKP_CAT_SE1_ARC_ST_FULL	Completed	full	8/23/2022 7:30:03 AM	1661257803	8/23/2022 7:31:15 AM	1661257875	0:00	0:01	0.11	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclsbecdb.delphidrive.com	2022/08/23-134
Backup	Oracle8 CDC_BKP_CAT_DG1_ARC_ST_FULL	Completed	full	8/23/2022 7:45:01 AM	1661258701	8/23/2022 7:45:45 AM	1661258745	0:00	0:00	0.03	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tcldvgrdbc.delphidrive.com	2022/08/23-135
Backup	Oracle8 CDC_BKP_CAT_STRLGDV_RAC_ARC_ST_FULL	Completed	full	8/23/2022 7:45:01 AM	1661258701	8/23/2022 7:46:21 AM	1661258781	0:00	0:01	0.21	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvracn1a.delphidrive.com	2022/08/23-136
Backup	Oracle8 CDC_BKP_CAT_SG1_ARC_ST_FULL	Completed	full	8/23/2022 7:45:01 AM	1661258701	8/23/2022 7:45:55 AM	1661258755	0:00	0:00	0.08	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclsbgrdbc.delphidrive.com	2022/08/23-137
Backup	Oracle8 CDC_BKP_CAT_B2BDEV_ARC_ST_FULL	Completed	full	8/23/2022 8:00:01 AM	1661259601	8/23/2022 8:01:03 AM	1661259663	0:00	0:01	0.09	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvibdbc.delphidrive.com	2022/08/23-138
Backup	Oracle8 CDC_BKP_CAT_DP1_ARC_ST_FULL	Completed	full	8/23/2022 8:00:01 AM	1661259601	8/23/2022 8:01:04 AM	1661259664	0:00	0:01	0.08	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvepdbc.delphidrive.com	2022/08/23-139
Backup	Oracle8 CDC_BKP_CAT_DV1_ARC_ST_FULL	Completed	full	8/23/2022 8:00:01 AM	1661259601	8/23/2022 8:01:51 AM	1661259711	0:00	0:01	0.15	1	0	1	0	0	0	2	2	0	100%	oracle.dba@tcudvr3dbc.delphidrive.com	2022/08/23-140
Backup	Oracle8 CDC_BKP_CAT_IIBST1_ARC_ST_FULL	Completed	full	8/23/2022 8:00:01 AM	1661259601	8/23/2022 8:01:06 AM	1661259666	0:00	0:01	0.06	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclqaibdbc.delphidrive.com	2022/08/23-141
Backup	Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY	Completed	full	8/23/2022 8:00:01 AM	1661259601	8/23/2022 8:03:18 AM	1661259798	0:00	0:03	1.78	1	0	0	0	0	0	3	3	0	100%	orapr1.dba@tsuprr3db1.delphidrive.com	2022/08/23-142
Backup	Oracle8 CDC_BKP_CAT_CCDEV_ARC_ST_FULL	Completed	full	8/23/2022 8:15:01 AM	1661260501	8/23/2022 8:15:57 AM	1661260557	0:00	0:00	0.06	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvibdbc.delphidrive.com	2022/08/23-143
Backup	Oracle8 CDC_BKP_CAT_QA1_ARC_ST_FULL	Completed	full	8/23/2022 8:15:01 AM	1661260501	8/23/2022 8:16:40 AM	1661260600	0:00	0:01	0.05	2	0	2	0	0	0	6	6	0	100%	oracle.dba@dtqa1dbc.delphidrive.com	2022/08/23-144
Backup	Oracle8 CDC_BKP_CAT_QG1_ARC_ST_FULL	Completed	full	8/23/2022 8:15:01 AM	1661260501	8/23/2022 8:15:56 AM	1661260556	0:00	0:00	0.08	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqagrdbc.delphidrive.com	2022/08/23-145
Backup	Oracle8 CDC_BKP_CAT_QP1_ARC_ST_FULL	Completed	full	8/23/2022 8:15:01 AM	1661260501	8/23/2022 8:16:00 AM	1661260560	0:00	0:00	0.10	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclqaepdbc.delphidrive.com	2022/08/23-146
Backup	Oracle8 CDC_BKP_CAT_DE1_ARC_ST_FULL	Completed	full	8/23/2022 8:30:01 AM	1661261401	8/23/2022 8:31:13 AM	1661261473	0:00	0:01	0.13	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvecdbc.delphidrive.com	2022/08/23-147
Backup	Oracle8 CDC_BKP_CAT_RE1_ARC_ST_FULL	Completed	full	8/23/2022 8:30:01 AM	1661261401	8/23/2022 8:30:55 AM	1661261455	0:00	0:00	0.09	1	0	1	0	0	0	3	3	1	100%	oracle.dba@dtre1dbc.delphidrive.com	2022/08/23-148
Backup	Oracle8 CDC_BKP_CAT_SE1_ARC_ST_FULL	Completed	full	8/23/2022 8:30:01 AM	1661261401	8/23/2022 8:31:17 AM	1661261477	0:00	0:01	0.12	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclsbecdb.delphidrive.com	2022/08/23-149
Backup	Oracle8 CDC_BKP_CAT_SCCST1_ARC_ST_FULL	Completed	full	8/23/2022 8:30:01 AM	1661261401	8/23/2022 8:30:44 AM	1661261444	0:00	0:00	0.02	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-150
Backup	Oracle8 CDC_BKP_CAT_SFGST1_ARC_ST_FULL	Completed	full	8/23/2022 8:30:01 AM	1661261401	8/23/2022 8:33:09 AM	1661261589	0:00	0:03	1.00	1	0	1	0	0	0	5	5	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-151
Backup	Oracle8 CDC_BKP_CAT_SG1_ARC_ST_FULL	Completed	full	8/23/2022 8:45:02 AM	1661262302	8/23/2022 8:45:58 AM	1661262358	0:00	0:00	0.08	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclsbgrdbc.delphidrive.com	2022/08/23-152
Backup	Oracle8 CDC_BKP_CAT_DG1_ARC_ST_FULL	Completed	full	8/23/2022 8:45:02 AM	1661262302	8/23/2022 8:47:01 AM	1661262421	0:00	0:01	0.52	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvgrdbc.delphidrive.com	2022/08/23-153
Backup	Oracle8 CDC_BKP_CAT_STRLGDV_RAC_ARC_ST_FULL	Completed	full	8/23/2022 8:45:02 AM	1661262302	8/23/2022 8:45:55 AM	1661262355	0:00	0:00	0.02	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tcldvracn1a.delphidrive.com	2022/08/23-154
Backup	Oracle8 CDC_BKP_CAT_DP1_ARC_ST_FULL	Completed	full	8/23/2022 9:00:01 AM	1661263201	8/23/2022 9:01:04 AM	1661263264	0:00	0:01	0.08	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvepdbc.delphidrive.com	2022/08/23-155
Backup	Oracle8 CDC_BKP_CAT_IIBST1_ARC_ST_FULL	Completed	full	8/23/2022 9:00:01 AM	1661263201	8/23/2022 9:01:06 AM	1661263266	0:00	0:01	0.06	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclqaibdbc.delphidrive.com	2022/08/23-156
Backup	Oracle8 CDC_BKP_CAT_B2BDEV_ARC_ST_FULL	Completed	full	8/23/2022 9:00:01 AM	1661263201	8/23/2022 9:01:08 AM	1661263268	0:00	0:01	0.08	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvibdbc.delphidrive.com	2022/08/23-157
Backup	Oracle8 CDC_BKP_CAT_DV1_ARC_ST_FULL	Completed	full	8/23/2022 9:00:01 AM	1661263201	8/23/2022 9:01:52 AM	1661263312	0:00	0:01	0.15	1	0	1	0	0	0	2	2	0	100%	oracle.dba@tcudvr3dbc.delphidrive.com	2022/08/23-158
Backup	Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY	Completed	full	8/23/2022 9:00:01 AM	1661263201	8/23/2022 9:03:04 AM	1661263384	0:00	0:03	1.33	1	0	0	0	0	0	3	3	0	100%	orapr1.dba@tsuprr3db1.delphidrive.com	2022/08/23-159
Backup	Oracle8 CDC_BKP_CAT_CCDEV_ARC_ST_FULL	Completed	full	8/23/2022 9:15:01 AM	1661264101	8/23/2022 9:15:57 AM	1661264157	0:00	0:00	0.06	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvibdbc.delphidrive.com	2022/08/23-160
Backup	Oracle8 CDC_BKP_CAT_QA1_ARC_ST_FULL	Completed	full	8/23/2022 9:15:01 AM	1661264101	8/23/2022 9:16:46 AM	1661264206	0:00	0:01	0.05	2	0	2	0	0	0	6	6	0	100%	oracle.dba@dtqa1dbc.delphidrive.com	2022/08/23-161
Backup	Oracle8 CDC_BKP_CAT_QG1_ARC_ST_FULL	Completed	full	8/23/2022 9:15:01 AM	1661264101	8/23/2022 9:15:57 AM	1661264157	0:00	0:00	0.08	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqagrdbc.delphidrive.com	2022/08/23-162
Backup	Oracle8 CDC_BKP_CAT_QP1_ARC_ST_FULL	Completed	full	8/23/2022 9:15:01 AM	1661264101	8/23/2022 9:15:58 AM	1661264158	0:00	0:00	0.10	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclqaepdbc.delphidrive.com	2022/08/23-163
Backup	Oracle8 CDC_BKP_CAT_DE1_ARC_ST_FULL	Completed	full	8/23/2022 9:30:01 AM	1661265001	8/23/2022 9:31:13 AM	1661265073	0:00	0:01	0.14	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvecdbc.delphidrive.com	2022/08/23-164
Backup	Oracle8 CDC_BKP_CAT_RE1_ARC_ST_FULL	Completed	full	8/23/2022 9:30:01 AM	1661265001	8/23/2022 9:30:55 AM	1661265055	0:00	0:00	0.09	1	0	1	0	0	0	3	3	1	100%	oracle.dba@dtre1dbc.delphidrive.com	2022/08/23-165
Backup	Oracle8 CDC_BKP_CAT_SCCST1_ARC_ST_FULL	Completed	full	8/23/2022 9:30:01 AM	1661265001	8/23/2022 9:30:45 AM	1661265045	0:00	0:00	0.02	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-166
Backup	Oracle8 CDC_BKP_CAT_SFGST1_ARC_ST_FULL	Completed	full	8/23/2022 9:30:01 AM	1661265001	8/23/2022 9:32:46 AM	1661265166	0:00	0:02	0.84	1	0	1	0	0	0	5	5	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-167
Backup	Oracle8 CDC_BKP_CAT_SE1_ARC_ST_FULL	Completed	full	8/23/2022 9:30:01 AM	1661265001	8/23/2022 9:31:11 AM	1661265071	0:00	0:01	0.10	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclsbecdb.delphidrive.com	2022/08/23-168
Backup	Oracle8 CDC_BKP_CAT_DG1_ARC_ST_FULL	Completed	full	8/23/2022 9:45:01 AM	1661265901	8/23/2022 9:47:00 AM	1661266020	0:00	0:01	0.94	2	0	2	0	0	0	4	4	1	100%	oracle.dba@tcldvgrdbc.delphidrive.com	2022/08/23-169
Backup	Oracle8 CDC_BKP_CAT_SG1_ARC_ST_FULL	Completed	full	8/23/2022 9:45:02 AM	1661265902	8/23/2022 9:45:58 AM	1661265958	0:00	0:00	0.08	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclsbgrdbc.delphidrive.com	2022/08/23-170
Backup	Oracle8 CDC_BKP_CAT_STRLGDV_RAC_ARC_ST_FULL	Completed	full	8/23/2022 9:45:02 AM	1661265902	8/23/2022 9:46:11 AM	1661265971	0:00	0:01	0.21	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvracn1a.delphidrive.com	2022/08/23-171
Backup	Oracle8 CDC_BKP_CAT_B2BDEV_ARC_ST_FULL	Completed	full	8/23/2022 10:00:01 AM	1661266801	8/23/2022 10:01:03 AM	1661266863	0:00	0:01	0.08	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvibdbc.delphidrive.com	2022/08/23-172
Backup	Oracle8 CDC_BKP_CAT_DP1_ARC_ST_FULL	Completed	full	8/23/2022 10:00:01 AM	1661266801	8/23/2022 10:01:03 AM	1661266863	0:00	0:01	0.08	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvepdbc.delphidrive.com	2022/08/23-173
Backup	Oracle8 CDC_BKP_CAT_DV1_ARC_ST_FULL	Completed	full	8/23/2022 10:00:01 AM	1661266801	8/23/2022 10:01:54 AM	1661266914	0:00	0:01	0.15	1	0	1	0	0	0	2	2	0	100%	oracle.dba@tcudvr3dbc.delphidrive.com	2022/08/23-174
Backup	Oracle8 CDC_BKP_CAT_IIBST1_ARC_ST_FULL	Completed	full	8/23/2022 10:00:01 AM	1661266801	8/23/2022 10:01:07 AM	1661266867	0:00	0:01	0.06	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclqaibdbc.delphidrive.com	2022/08/23-175
Backup	Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY	Completed	full	8/23/2022 10:00:01 AM	1661266801	8/23/2022 10:02:58 AM	1661266978	0:00	0:02	1.29	1	0	0	0	0	0	3	3	0	100%	orapr1.dba@tsuprr3db1.delphidrive.com	2022/08/23-176
Backup	Oracle8 CDC_BKP_CAT_CCDEV_ARC_ST_FULL	Completed	full	8/23/2022 10:15:01 AM	1661267701	8/23/2022 10:15:47 AM	1661267747	0:00	0:00	0.01	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tcldvibdbc.delphidrive.com	2022/08/23-177
Backup	Oracle8 CDC_BKP_CAT_QG1_ARC_ST_FULL	Completed	full	8/23/2022 10:15:01 AM	1661267701	8/23/2022 10:15:52 AM	1661267752	0:00	0:00	0.08	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqagrdbc.delphidrive.com	2022/08/23-178
Backup	Oracle8 CDC_BKP_CAT_QA1_ARC_ST_FULL	Completed	full	8/23/2022 10:15:01 AM	1661267701	8/23/2022 10:16:41 AM	1661267801	0:00	0:01	0.07	2	0	2	0	0	0	6	6	0	100%	oracle.dba@dtqa1dbc.delphidrive.com	2022/08/23-179
Backup	Oracle8 CDC_BKP_CAT_QP1_ARC_ST_FULL	Completed	full	8/23/2022 10:15:01 AM	1661267701	8/23/2022 10:16:00 AM	1661267760	0:00	0:00	0.10	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclqaepdbc.delphidrive.com	2022/08/23-180
Backup	Oracle8 CDC_BKP_CAT_DE1_ARC_ST_FULL	Completed	full	8/23/2022 10:30:01 AM	1661268601	8/23/2022 10:31:22 AM	1661268682	0:00	0:01	0.17	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvecdbc.delphidrive.com	2022/08/23-181
Backup	Oracle8 CDC_BKP_CAT_RE1_ARC_ST_FULL	Completed	full	8/23/2022 10:30:01 AM	1661268601	8/23/2022 10:31:13 AM	1661268673	0:00	0:01	0.09	1	0	1	0	0	0	3	3	1	100%	oracle.dba@dtre1dbc.delphidrive.com	2022/08/23-182
Backup	Oracle8 CDC_BKP_CAT_SE1_ARC_ST_FULL	Completed	full	8/23/2022 10:30:01 AM	1661268601	8/23/2022 10:31:12 AM	1661268672	0:00	0:01	0.10	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclsbecdb.delphidrive.com	2022/08/23-183
Backup	Oracle8 CDC_BKP_CAT_SCCST1_ARC_ST_FULL	Completed	full	8/23/2022 10:30:01 AM	1661268601	8/23/2022 10:30:44 AM	1661268644	0:00	0:00	0.02	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-184
